X_coordina,Y_coordina,type
1851508,5943933,1
1851575,5943754,1
1851660,5943571,1
1851765,5943397,1
1851904,5943296,1
1852061,5943160,1
1852151,5942988,1
1852054,5942801,1
1851992,5942635,1
1852045,5942464,1
1851875,5942412,1
1851709,5942315,1
1851527,5942271,1
1847653,5946042,1
1847703,5945982,1
1847962,5945507,2
1848006,5945525,2
1848047,5945546,2
1848088,5945577,2
1848109,5945624,2
1848112,5945671,2
1848077,5945736,2
1848036,5945767,2
1847977,5945777,2
1847922,5945784,2
1847874,5945780,2
1847831,5945811,2
1847812,5945852,2
1847867,5945876,2
1847862,5945909,2
1847814,5945926,2
1847760,5945933,2
1847710,5945932,2
1847660,5945944,2
1847622,5945977,2
1847453,5946200,2
1847424,5946291,2
1847466,5946310,2
1847510,5946326,2
1847550,5946356,2
1847600,5946353,2
1847584,5946410,2
1847571,5946459,2
1847573,5946523,2
1847594,5946573,2
1847597,5946626,2
1847605,5946679,2
1847625,5946730,2
1847674,5946735,2
1847674,5946692,2
1847716,5946668,2
1847766,5946643,2
1847813,5946616,2
1847835,5946635,2
1847845,5946687,2
1847880,5946724,2
1847921,5946760,2
1847966,5946788,2
1848001,5946824,2
1848075,5946840,2
1848116,5946800,2
1847248,5946197,2
1847025,5945997,2
1848164,5946859,2
1848215,5946863,2
1848266,5946867,2
1848318,5946873,2
1848375,5946878,2
1848414,5946917,2
1848390,5946963,2
1848363,5947013,2
1848307,5947025,2
1848263,5947047,2
1848212,5947065,2
1848182,5947021,2
1848142,5946983,2
1848123,5946930,2
1848079,5946909,2
1848016,5946887,2
1848019,5946943,2
1848110,5946753,2
1848105,5946651,2
1848101,5946598,2
1848100,5946549,2
1848099,5946501,2
1848065,5946469,2
1848057,5946418,2
1848052,5946370,2
1848088,5946333,2
1848140,5946291,2
1848153,5946235,2
1848150,5946191,2
1848121,5946147,2
1848079,5946092,2
1848089,5946046,2
1848146,5945969,2
1848247,5945941,2
1848343,5945946,2
1848388,5945965,2
1846579,5946507,2
1846477,5946653,2
1846346,5946952,2
1848763,5947481,2
1848995,5947820,2
1849043,5946362,2
1849359,5946293,2
1848964,5945663,2
1848985,5945763,2
1849021,5945853,2
1849143,5946001,2
1849358,5944366,2
1849389,5944462,2
1849395,5944566,2
1849383,5944662,2
1849343,5944759,2
1849317,5944846,2
1849271,5944932,2
1849237,5945027,2
1849158,5945097,2
1849106,5945192,2
1849026,5945232,2
1848933,5945271,2
1848869,5945339,2
1848948,5945408,2
1848928,5945533,2
1848880,5945591,2
1848850,5945619,2
1850097,5944990,2
1849633,5945131,2
1849551,5945220,2
1849614,5945680,2
1849491,5943332,2
1849417,5943272,2
1849377,5943217,2
1849406,5943117,2
1849367,5942929,2
1849336,5942723,2
1848325,5941812,2
1848410,5941884,2
1848480,5941896,2
1848564,5941876,2
1848726,5942052,2
1848831,5942087,2
1848912,5942010,2
1849211,5941942,2
1849309,5941877,2
1849428,5941821,2
1849845,5941713,2
1849933,5941662,2
1850033,5941592,2
1850261,5941539,2
1850349,5941488,2
1850627,5942021,2
1850771,5941982,2
1850749,5941724,2
1850778,5941737,2
1850814,5941722,2
1850848,5941755,2
1850892,5941773,2
1851628,5941421,2
1851822,5941481,2
1851928,5941431,2
1852845,5943153,2
1853209,5942718,2
1847974,5947400,2
1847902,5947404,2
1847867,5947471,2
1850187,5942158,2
1850090,5943612,2
1851660,5943571,2
1851709,5942315,2
1847653,5946042,2
1847703,5945982,2
1848608,5942195,2
1848631,5941900,2
1848257,5941743,2
1848151,5942165,2
1849028,5942187,2
1849258,5942027,2
1849393,5942022,2
1849470,5944218,2
1849482,5943653,2
1849520,5944005,2
1849491,5943332,2
1849417,5943272,2
1849406,5943117,2
1849367,5942929,2
1848317,5941676,2
1848325,5941812,2
1848410,5941884,2
1848480,5941896,2
1848705,5941911,2
1848726,5942052,2
1848831,5942087,2
1849107,5941981,2
1849211,5941942,2
1849428,5941821,2
1849545,5941845,2
1849646,5941820,2
1849701,5941744,2
1849763,5941651,2
1849845,5941713,2
1849933,5941662,2
1849937,5941565,2
1850033,5941592,2
1850147,5941586,2
1850192,5941620,2
1850261,5941539,2
1850349,5941488,2
1850858,5941992,2
1850944,5942062,2
1850942,5942151,2
1850976,5942177,2
1850950,5942241,2
1850925,5942242,2
1850749,5941724,2
1850778,5941737,2
1850814,5941722,2
1850848,5941755,2
1850892,5941773,2
1850932,5941779,2
1850986,5941817,2
1851036,5941843,2
1851082,5941877,2
1851100,5941893,2
1851149,5941932,2
1851203,5941947,2
1851260,5941945,2
1848715,5941985,2
1848196,5942206,2
1848291,5942169,2
1848414,5942142,2
1848510,5942154,2
1848563,5942155,2
1848608,5942195,2
1848688,5942102,2
1848757,5942143,2
1848815,5942275,2
1848728,5941857,2
1848655,5941996,2
1848631,5941900,2
1848257,5941743,2
1848239,5941839,2
1848224,5941966,2
1848158,5942010,2
1848151,5942165,2
1848816,5942388,2
1848887,5942430,2
1848946,5942440,2
1848992,5942433,2
1849049,5942453,2
1849098,5942494,2
1849238,5942517,2
1849640,5942150,2
1849606,5942226,2
1849627,5942289,2
1849675,5942351,2
1849743,5942419,2
1849816,5942426,2
1849866,5942482,2
1849946,5942554,2
1849970,5942627,2
1849991,5943188,2
1849887,5943164,2
1849830,5943117,2
1849811,5943076,2
1849787,5943012,2
1849731,5942966,2
1849690,5942928,2
1849624,5942892,2
1849573,5942840,2
1849561,5942781,2
1849496,5942702,2
1849445,5942655,2
1849406,5942631,2
1849376,5942572,2
1849329,5942544,2
1849240,5942516,2
1850975,5941948,2
1850836,5941852,2
1850898,5941918,2
1848882,5942268,2
1848969,5942225,2
1849028,5942187,2
1849100,5942123,2
1849172,5942077,2
1849258,5942027,2
1849346,5942024,2
1849393,5942022,2
1849553,5941922,2
1848794,5942075,2
1849293,5942357,2
1848928,5942004,2
1849275,5942424,2
1848947,5942014,2
1849252,5942489,2
1849024,5941984,2
1849212,5941910,2
1849224,5941750,2
1849218,5941724,2
1849260,5941665,2
1849652,5941840,2
1849649,5941864,2
1849605,5941840,2
1849544,5941889,2
1849516,5941954,2
1849456,5941912,2
1849458,5941970,2
1849421,5942051,2
1849400,5942107,2
1849346,5942184,2
1849339,5942250,2
1849331,5942249,2
1849313,5942308,2
1850159,5942126,2
1850295,5941623,2
1850309,5941548,2
1850352,5941487,2
1850352,5941345,2
1850154,5942089,2
1850235,5941547,2
1850219,5941591,2
1850181,5942012,2
1849988,5941563,2
1850202,5941958,2
1850256,5941831,2
1850307,5941780,2
1850276,5941804,2
1850351,5941744,2
1850337,5941722,2
1849941,5941491,2
1849906,5941424,2
1849983,5941687,2
1849829,5941843,2
1849799,5941826,2
1849833,5941864,2
1849858,5941893,2
1849877,5941943,2
1849959,5942018,2
1850025,5942080,2
1850141,5942149,2
